Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,3024.44,4287.78,5240.13,5800.34,7909.49,8059.81,2991.74,2487,3774.61,4142.14,4192.58,3207.09
,3029.45,4293.34,5313.64,5800.93,7914.65,8178.02,2998.01,2499.67,3796.38,4145.94,4219.24,3225.47
,3030.6,4301.69,5320.39,5806.67,7918.21,8183.11,3031.39,2531.51,3811.7,4170.76,4224.22,3233.89
,3040.08,4307.67,5324.79,5814.86,7967.37,8312.82,3076.17,2539.04,3819.06,4192.24,4232.47,3238.05
,3071.21,4307.69,5343.37,5818.87,7999.16,8387.12,3134.54,2558.26,3825.95,4246.14,4253.53,3253.51
,3072.44,4336.58,5361.58,5880.62,8005.07,8397.51,3153.61,2576.36,3834.2,4249.06,4271.07,3288.24
,3075.56,4365.14,5377.3,5886.22,8048.77,8409.47,3161.97,2603.15,3837.92,4258.37,4278.11,3295.91
,3075.68,4389.17,5379.24,5888.8,8103.58,8535.75,3168.04,2628.03,3839.48,4258.9,4300.85,3299.14
,3091.28,4437.54,5384.18,5908.82,8147.28,8563.56,3171.63,2649.11,3882.59,4258.91,4304.61,3299.56
,3095.81,4488.51,5385.32,5921.73,8177.19,8573.08,3177.18,2654.5,3885.58,4272.07,4397.2,3305.87
,3096.43,4510.89,5387.66,5936.36,8178.94,8609.07,3181.15,2689.38,3901.47,4274.76,4415.34,3310.31
,3112.84,4545.34,5399.77,5953.91,8218.78,8613.96,3182.38,2740.67,3907.21,4276.94,4416.27,3321.51
,3119.6,4548.66,5454.11,5965.95,8252.88,8627.9,3188.38,2743.78,3916.66,4279.23,4432.22,3335.55
,3133.07,4552.56,5458.72,5985.54,8274.48,8655.12,3237.43,2748.08,3923.93,4280.36,4477.16,3340.85
,3136.59,4557.81,5498.52,5992.61,8335.78,8738.49,3264.94,2761.26,3935.45,4282.41,4478.94,3357.64
,3155.36,4576.53,5545.75,5998.07,8395.96,8749.52,3284.3,2768.99,3947.65,4293.69,4480,3397.02
,3164.61,4584.3,5551.59,6016.88,8414.29,8801.03,3307.93,2770.56,3958.88,4374.34,4483.53,3399.15
,3176.23,4592.84,5562.36,6023.76,8493.43,8999.66,3325.63,2777.36,3970.48,4375.77,4495.5,3402.62
,3200.23,4595.73,5569.94,6044.85,8509.03,9022.18,3338.11,2778.37,3992.65,4377.11,4505.47,3405.35
,3214.19,4627.17,5575.34,6054.93,8544.88,9061.1,3338.91,2788.89,3999.16,4383.74,4505.68,3408.27
,3251.1,4646.03,5595.11,6068.01,8557.17,9061.22,3345.51,2798.69,4016.53,4389.46,4511.15,3434.88
,3270.92,4649.74,5612.3,6068.58,8605.27,9156.97,3376.14,2801.67,4052.9,4423.88,4513.79,3472.35
,3272.23,4660.25,5620.04,6091.67,8653.74,9203.07,3393.27,2802.36,4055.9,4438.35,4594.4,3477.94
,3274.27,4667.72,5641.1,6097.99,8666.81,9205.44,3400.62,2819.01,4117.56,4441.83,4602.02,3485.41
,3287.97,4671.57,5644.47,6136.17,8696.49,9223.83,3444.44,2820.45,4128.92,4445.13,4608.34,3509.95
,3289.66,4677.26,5649.92,6163.7,8703.66,9315.18,3451.62,2824.15,4135.57,4447.87,4617.76,3511.2
,3292.54,4679.81,5661.15,6188.25,8829.15,9404.67,3454.83,2824.66,4150.41,4447.95,4621.52,3573.51
,3299.94,4703.41,5669.79,6199.98,8832.98,9461.74,3480.29,2891.21,4152.21,4450.28,4622.58,3584.88
,3305.7,4705.32,5679.88,6210.74,8847.46,9552.84,3493.64,2908.06,4157.35,4461.46,4634.57,3590.7
,3308,4706.72,5684.29,6212.62,8874.82,9602.96,3514.47,2924.53,4161.28,4467.89,4647.16,3609.83
,3316.46,4709.38,5697.32,6224.11,8960.47,9613.35,3519.11,2930.75,4176.51,4469.05,4658.19,3610.06
,3327.36,4728.98,5708.59,6229.56,9029.65,9613.42,3520.41,2934.3,4181.8,4475.32,4664.19,3632.43
,3329.27,4731.47,5723.68,6235.17,9033.52,9650.79,3563.01,2965.26,4194.71,4485.3,4684.61,3641.79
,3339.25,4737.53,5730.58,6238.61,9054.73,9672.41,3568.87,2970.83,4203.49,4490.87,4686.66,3646.62
,3341.65,4742.82,5750.98,6276.73,9063.32,9700.59,3577.56,2982.5,4206.93,4508.64,4686.73,3651.15
,3346.36,4762.05,5771.61,6302.13,9077.75,9747.72,3585.69,2994.72,4212.01,4530.93,4688.18,3677.48
,3399.03,4773.43,5775.27,6318.11,9091.99,9805.03,3610.91,3017.78,4240.17,4543.03,4706.97,3686.56
,3399.95,4776.26,5825.25,6320.22,9104.63,9810.48,3628.4,3035.45,4252.48,4551.57,4715.18,3690.37
,3415.55,4779.57,5839.26,6327.08,9130.04,9944.75,3652.32,3043.64,4253.39,4565.18,4715.59,3690.97
,3421.98,4781.09,5841.93,6338.2,9156.46,10032.5,3655.92,3068.66,4253.82,4575.9,4737.96,3711.24
,3448.85,4784.93,5850.7,6340.83,9169.84,10043.6,3661.69,3069.25,4258.96,4578.4,4744.55,3712.36
,3454.69,4791.52,5867.81,6341.11,9199.76,10085.7,3676.2,3073.09,4260.79,4610.98,4748.11,3715.39
,3463.01,4809.63,5880.5,6341.83,9218.87,10090.9,3678.25,3087.35,4261.25,4620.82,4764.44,3727.98
,3479.85,4842.25,5908.4,6346.25,9232.4,10115.1,3684.34,3089.24,4284.57,4622.16,4775.66,3740.64
